itemLabel,date_of_birth,date_of_death
Erich Rothacker,1888-03-12T00:00:00Z,1965-08-11T00:00:00Z
Richard Avenarius,1843-11-10T00:00:00Z,1896-08-18T00:00:00Z
Richard Avenarius,1843-11-19T00:00:00Z,1896-08-18T00:00:00Z
Alexander Gottlieb Baumgarten,1714-07-17T00:00:00Z,1762-05-27T00:00:00Z
Hans Vaihinger,1852-09-25T00:00:00Z,1933-12-17T00:00:00Z
Hans Vaihinger,1852-09-25T00:00:00Z,1933-12-18T00:00:00Z
Rudolf Carnap,1891-05-18T00:00:00Z,1970-09-14T00:00:00Z
Max Scheler,1874-08-22T00:00:00Z,1928-05-19T00:00:00Z
Helmuth Plessner,1892-09-04T00:00:00Z,1985-06-12T00:00:00Z
E. F. Schumacher,1911-08-16T00:00:00Z,1977-09-04T00:00:00Z
Meister Eckhart,1260-01-01T00:00:00Z,1328-01-01T00:00:00Z
Johannes Agricola,1494-04-20T00:00:00Z,1566-09-22T00:00:00Z
Richard Dedekind,1831-10-06T00:00:00Z,1916-02-12T00:00:00Z
Heinrich Cornelius Agrippa,1486-09-23T00:00:00Z,1535-02-28T00:00:00Z
Friedrich Schleiermacher,1768-11-21T00:00:00Z,1834-01-12T00:00:00Z
Friedrich Schleiermacher,1768-11-21T00:00:00Z,1834-02-12T00:00:00Z
Max Dessoir,1867-02-08T00:00:00Z,1947-07-19T00:00:00Z
Eugen Dühring,1833-01-12T00:00:00Z,1921-09-21T00:00:00Z
Paul I of Russia,1754-10-01T00:00:00Z,1801-03-24T00:00:00Z
"Sir William Hamilton, 9th Baronet",1788-03-08T00:00:00Z,1856-05-06T00:00:00Z
Johann Baptist von Spix,1781-01-09T00:00:00Z,1826-03-13T00:00:00Z
Johann Baptist von Spix,1781-02-09T00:00:00Z,1826-03-13T00:00:00Z
Émile Durkheim,1858-04-15T00:00:00Z,1917-11-15T00:00:00Z
Fritz Mauthner,1849-11-22T00:00:00Z,1923-06-29T00:00:00Z
Jean Améry,1912-10-31T00:00:00Z,1978-10-17T00:00:00Z
Montesquieu,1689-01-18T00:00:00Z,1755-02-10T00:00:00Z
Virchand Gandhi,1864-08-25T00:00:00Z,1901-08-07T00:00:00Z
Shrimad Rajchandra,1867-11-09T00:00:00Z,1901-04-09T00:00:00Z
Bruce Lee,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z
Émile Boirac,1851-08-26T00:00:00Z,1917-09-20T00:00:00Z
Anatoly Lunacharsky,1875-11-23T00:00:00Z,1933-12-26T00:00:00Z
Junius Rusticus,0100-01-01T00:00:00Z,0170-01-01T00:00:00Z
Arthur Balfour,1848-07-25T00:00:00Z,1930-03-19T00:00:00Z
Samuel P. Huntington,1927-04-18T00:00:00Z,2008-12-24T00:00:00Z
Cai Yuanpei,1868-01-11T00:00:00Z,1940-03-05T00:00:00Z
Louis Couturat,1868-01-17T00:00:00Z,1914-08-03T00:00:00Z
Ferdinand Tönnies,1855-07-26T00:00:00Z,1936-04-09T00:00:00Z
Auguste Forel,1848-09-01T00:00:00Z,1931-07-27T00:00:00Z
Friedrich Schiller,1759-11-10T00:00:00Z,1805-05-09T00:00:00Z
C. Anthony Anderson,1940-05-29T00:00:00Z,
William Hirstein,2000-01-01T00:00:00Z,
Quentin Smith,1952-08-27T00:00:00Z,
Kit Fine,1946-03-26T00:00:00Z,
Petrus Cunaeus,1586-01-01T00:00:00Z,1638-12-02T00:00:00Z
Joseph Gredt,1863-07-30T00:00:00Z,1940-01-20T00:00:00Z
Henry of Latvia,1187-01-01T00:00:00Z,1259-01-01T00:00:00Z
